resid,z_min,z_max,z_thickness
176,25.239999771118164,37.709999084472656,12.469999313354492
177,16.15999984741211,30.139999389648438,13.979999542236328
178,22.60999870300293,32.720001220703125,10.110002517700195
179,17.260000228881836,28.5,11.239999771118164
180,21.19999885559082,32.63999938964844,11.440000534057617
181,19.110000610351562,32.13999938964844,13.029998779296875
182,22.44999885559082,37.68000030517578,15.230001449584961
183,17.560001373291016,32.0099983215332,14.449996948242188
184,22.860000610351562,30.869998931884766,8.009998321533203
185,19.989999771118164,34.279998779296875,14.289999008178711
186,18.860000610351562,33.599998474121094,14.739997863769531
187,16.600000381469727,31.5,14.899999618530273
188,22.93000030517578,30.439998626708984,7.509998321533203
189,17.46000099182129,28.1299991607666,10.669998168945312
190,22.670000076293945,34.5099983215332,11.839998245239258
191,15.010000228881836,27.84000015258789,12.829999923706055
192,22.06999969482422,34.970001220703125,12.900001525878906
193,18.200000762939453,22.790000915527344,4.590000152587891
194,18.25,31.970001220703125,13.720001220703125
195,20.780000686645508,30.93000030517578,10.149999618530273
196,20.459999084472656,35.43000030517578,14.970001220703125
197,21.389999389648438,34.150001525878906,12.760002136230469
198,18.420000076293945,27.060001373291016,8.64000129699707
199,20.329999923706055,34.18000030517578,13.850000381469727
200,21.229999542236328,31.31999969482422,10.09000015258789
201,19.270000457763672,29.579999923706055,10.309999465942383
202,22.59000015258789,37.060001373291016,14.470001220703125
203,20.780000686645508,35.96999740600586,15.189996719360352
204,23.64000129699707,31.099998474121094,7.459997177124023
205,17.560001373291016,22.780000686645508,5.219999313354492
206,19.59000015258789,27.98000144958496,8.39000129699707
207,19.40999984741211,33.650001525878906,14.240001678466797
208,20.889999389648438,37.26000213623047,16.37000274658203
209,22.889999389648438,34.97999954223633,12.09000015258789
210,22.639999389648438,37.5099983215332,14.869998931884766
211,20.93000030517578,29.82000160217285,8.89000129699707
212,22.53999900817871,38.220001220703125,15.680002212524414
213,17.64000129699707,30.43000030517578,12.789999008178711
214,17.229999542236328,34.459999084472656,17.229999542236328
215,21.440000534057617,34.970001220703125,13.530000686645508
216,19.209999084472656,23.599998474121094,4.3899993896484375
217,17.829999923706055,29.34000015258789,11.510000228881836
218,22.360000610351562,35.529998779296875,13.169998168945312
219,22.290000915527344,31.170001983642578,8.880001068115234
220,21.14000129699707,33.84000015258789,12.69999885559082
221,23.1299991607666,36.029998779296875,12.899999618530273
222,25.889999389648438,38.80000305175781,12.910003662109375
223,17.09000015258789,32.27000045776367,15.180000305175781
224,18.65999984741211,34.119998931884766,15.459999084472656
